3MINDIA,3MINDIA.NS,3M India
ABB,ABB.NS,ABB India
POWERINDIA,POWERINDIA.NS,ABB Power
ACC,ACC.NS,ACC
AIAENG,AIAENG.NS,AIA Engineering
APLAPOLLO,APLAPOLLO.NS,APL Apollo
AUBANK,AUBANK.NS,AU Bank
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs
AARTIIND,AARTIIND.NS,Aarti Industries
AAVAS,AAVAS.NS,Aaavas Financers
ABBOTINDIA,ABBOTINDIA.NS,Abbot India
ADANIENT,ADANIENT.NS,Adani Ent
ADANIGREEN,ADANIGREEN.NS,Adani Green
ADANIPORTS,ADANIPORTS.NS,Adani Ports
ADANITRANS,ADANITRANS.NS,Adani Transmission
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Cap
ABFRL,ABFRL.NS,Aditya Birla Fashion
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme
AEGISCHEM,AEGISCHEM.NS,Aegis Logistics
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals
AKZOINDIA,AKZOINDIA.NS,Akzo Nobel
ALEMBICLTD,ALEMBICLTD.NS,Alembic
APLLTD,APLLTD.NS,Alembic Pharmaceuticals
ALKEM,ALKEM.NS,Alkem Laboratories
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines
ALOKINDS,ALOKINDS.NS,Alok Industries
AMARAJABAT,AMARAJABAT.NS,Amara Raja
AMBER,AMBER.NS,Amber Enterprises
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland
ASHOKA,ASHOKA.NS,Ashoka Buildcon
ASIANPAINT,ASIANPAINT.NS,Asian Paints
ASTERDM,ASTERDM.NS,Aster DM
ASTRAZEN,ASTRAZEN.NS,AstraZenca Pharma
ASTRAL,ASTRAL.NS,Astral Poly
ATUL,ATUL.NS,Atul
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds
DMART,DMART.NS,Avenue Supermarts
AXISBANK,AXISBANK.NS,Axis Bank
BASF,BASF.NS,BASF India
BEML,BEML.NS,BEML
BSE,BSE.NS,BSE
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto
BAJAJCON,BAJAJCON.NS,Bajaj Consumer
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings
BALKRISIND,BALKRISIND.NS,Balkrishna Industries
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank
BANKBARODA,BANKBARODA.NS,Bank of Baroda
BANKINDIA,BANKINDIA.NS,Bank of India
MAHABANK,MAHABANK.NS,Bank of Maharashtra
BATAINDIA,BATAINDIA.NS,Bata India
BAYERCROP,BAYERCROP.NS,Bayer Cropscience
BERGEPAINT,BERGEPAINT.NS,Berger Paints
BDL,BDL.NS,Bharat Dynamics
BEL,BEL.NS,Bharat Electronics
BHARATFORG,BHARATFORG.NS,Bharat Forge
BHEL,BHEL.NS,Bharat Heavy
BPCL,BPCL.NS,Bharat Petroleum
BHARATRAS,BHARATRAS.NS,Bharat Rasayan
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel
BIOCON,BIOCON.NS,Biocon
BIRLACORPN,BIRLACORPN.NS,Birla Corporation
BSOFT,BSOFT.NS,Birlasoft
BLISSGVS,BLISSGVS.NS,Bliss GVS
BLUEDART,BLUEDART.NS,Blue Dart
BLUESTARCO,BLUESTARCO.NS,Blue Star
BBTC,BBTC.NS,Bombay Burmah
BOMDYEING,BOMDYEING.NS,Bombay Dyeing
BOSCHLTD,BOSCHLTD.NS,Bosch
BRIGADE,BRIGADE.NS,Brigade Enterprises
BRITANNIA,BRITANNIA.NS,Britannia Industries
CARERATING,CARERATING.NS,CARE Ratings
CCL,CCL.NS,CCL Products
CESC,CESC.NS,CESC
CRISIL,CRISIL.NS,CRISIL
CSBBANK,CSBBANK.NS,CSB Bank
CADILAHC,CADILAHC.NS,Cadila Healthcare
CANFINHOME,CANFINHOME.NS,Can Fin
CANBK,CANBK.NS,Canara Bank
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point
CGCL,CGCL.NS,Capri Global
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal
CASTROLIND,CASTROLIND.NS,Castrol India
CEATLTD,CEATLTD.NS,Ceat
CENTRALBK,CENTRALBK.NS,Central Bank
CDSL,CDSL.NS,Central Depository
CENTURYPLY,CENTURYPLY.NS,Century Plyboards
CENTURYTEX,CENTURYTEX.NS,Century Textile
CERA,CERA.NS,Cera Sanitaryware
CHALET,CHALET.NS,Chalet Hotels
CHAMBLFERT,CHAMBLFERT.NS,Chambal Fertilizers
CHENNPETRO,CHENNPETRO.NS,Chennai Petroleum
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment
CIPLA,CIPLA.NS,Cipla
CUB,CUB.NS,City Union
COALINDIA,COALINDIA.NS,Coal India
COCHINSHIP,COCHINSHIP.NS,Cochin Shipyard
COFORGE,COFORGE.NS,Coforge
COLPAL,COLPAL.NS,Colgate Palmolive
CONCOR,CONCOR.NS,Container Corporation
COROMANDEL,COROMANDEL.NS,Coromandel International
CREDITACC,CREDITACC.NS,CreditAccess Grameen
CROMPTON,CROMPTON.NS,Crompton Greaves
CUMMINSIND,CUMMINSIND.NS,Cummins India
CYIENT,CYIENT.NS,Cyient Ltd
DBCORP,DBCORP.NS,DBCorp Ltd
DCBBANK,DCBBANK.NS,DCB Bank
DCMSHRIRAM,DCMSHRIRAM.NS,DCM Shriram
DLF,DLF.NS,DLF Ltd
DABUR,DABUR.NS,Dabur India
DALBHARAT,DALBHARAT.NS,Dalmia Bharat
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite
DELTACORP,DELTACORP.NS,Delta Corp
DHANI,DHANI.NS,Dhani Services
DHANUKA,DHANUKA.NS,Dhanuka Agritech
DBL,DBL.NS,Dilip Buildcon
DISHTV,DISHTV.NS,Dish TV
DCAL,DCAL.NS,Dishman Carbogen
DIVISLAB,DIVISLAB.NS,Divi's Laboratories
DIXON,DIXON.NS,Dixon Technologies
LALPATHLAB,LALPATHLAB.NS,Lal Path Lab
DRREDDY,DRREDDY.NS,Dr Reddy
EIDPARRY,EIDPARRY.NS,EID Parry
EIHOTEL,EIHOTEL.NS,EIH Ltd
EPL,EPL.NS,EPL Ltd
ESABINDIA,ESABINDIA.NS,ESAB India
EDELWEISS,EDELWEISS.NS,Edelweiss Financial
EICHERMOT,EICHERMOT.NS,Eicher Motors
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments
EMAMILTD,EMAMILTD.NS,Emami Ltd
ENDURANCE,ENDURANCE.NS,Endurance Technologies
ENGINERSIN,ENGINERSIN.NS,Engineers India
EQUITAS,EQUITAS.NS,Equitas Holdings
ERIS,ERIS.NS,Eris Lifesciences
ESCORTS,ESCORTS.NS,Escorts
EXIDEIND,EXIDEIND.NS,Exide Industries
FDC,FDC.NS,FDC Ltd
FEDERALBNK,FEDERALBNK.NS,Federal Bank
FINEORG,FINEORG.NS,Fine Organic
FINCABLES,FINCABLES.NS,Finolex Cables
FINPIPE,FINPIPE.NS,Finpipe
FSL,FSL.NS,Firstsource Solutions
FORTIS,FORTIS.NS,Fortis Healthcare
FCONSUMER,FCONSUMER.NS,Future Consumer
FRETAIL,FRETAIL.NS,Future Retail
GAIL,GAIL.NS,GAIL (India)
GEPIL,GEPIL.NS,GE Power
GHCL,GHCL.NS,GHCL Ltd
GMMPFAUDLR,GMMPFAUDLR.NS,GMMP Faudler
GMRINFRA,GMRINFRA.NS,GMR Infrastructure
GALAXYSURF,GALAXYSURF.NS,Galaxy Surfactants
GRSE,GRSE.NS,Garden Reach
GARFIBRES,GARFIBRES.NS,Garware Technical
GICRE,GICRE.NS,General Insurance
GILLETTE,GILLETTE.NS,Gillette India
GLAXO,GLAXO.NS,Glaxosmithkline Pharmaceuticals
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips
GODREJAGRO,GODREJAGRO.NS,Godrej Agrovet
GODREJCP,GODREJCP.NS,Godrej Consumer
GODREJIND,GODREJIND.NS,Godrej Industries
GODREJPROP,GODREJPROP.NS,Godrej Properties
GRANULES,GRANULES.NS,Granules India
GRAPHITE,GRAPHITE.NS,Graphite India
GRASIM,GRASIM.NS,Grasim Industries
GESHIP,GESHIP.NS,Great Eastern
GREAVESCOT,GREAVESCOT.NS,Greaves Cotton
GRINDWELL,GRINDWELL.NS,Grindwell Norton
GUJALKALI,GUJALKALI.NS,Gujarat Alkalies
GAEL,GAEL.NS,Gujarat Ambuja
FLUOROCHEM,FLUOROCHEM.NS,Gujarat Fluorochemicals
GUJGASLTD,GUJGASLTD.NS,Gujarat Gas
GMDCLTD,GMDCLTD.NS,Gujarat Mineral
GNFC,GNFC.NS,Gujarat Narmada
GPPL,GPPL.NS,Gujarat Pipavav
GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd
GSPL,GSPL.NS,Gujarat State Petronet Ltd
GULFOILLUB,GULFOILLUB.NS,Gulf Oil
HEG,HEG.NS,HEG Ltd
HCLTECH,HCLTECH.NS,HCL Technologies
HDFCAMC,HDFCAMC.NS,HDFC Asset
HDFCBANK,HDFCBANK.NS,HDFC Bank
HDFCLIFE,HDFCLIFE.NS,HDFC Life
HFCL,HFCL.NS,HFCL Ltd
HATHWAY,HATHWAY.NS,Hathway Cable
HATSUN,HATSUN.NS,Hatsun Agro
HAVELLS,HAVELLS.NS,Havells India
HEIDELBERG,HEIDELBERG.NS,HeidelbergCement India
HERITGFOOD,HERITGFOOD.NS,Heritage Foods
HEROMOTOCO,HEROMOTOCO.NS,Hero MotoCorp
HSCL,HSCL.NS,Himadri Speciality
HINDALCO,HINDALCO.NS,Hindalco Industries
HAL,HAL.NS,Hindustan Aeronautics
HINDCOPPER,HINDCOPPER.NS,Hindustan Copper
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever
HINDZINC,HINDZINC.NS,Hindustan Zinc
HONAUT,HONAUT.NS,Honeywell Automation
HUDCO,HUDCO.NS,Housing &
HDFC,HDFC.NS,Housing Development
HUHTAMAKI,HUHTAMAKI.NS,Huhtamaki India
ICICIBANK,ICICIBANK.NS,ICICI Bank
ICICIGI,ICICIGI.NS,ICICI Lombard
ICICIPRULI,ICICIPRULI.NS,ICICI Prudential
ISEC,ISEC.NS,ICICI Securities
ICRA,ICRA.NS,ICRA Ltd
IDBI,IDBI.NS,IDBI Bank
IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First
IDFC,IDFC.NS,IDFC Ltd
IFBIND,IFBIND.NS,IFB Industries
IIFL,IIFL.NS,IIFL Finance
IIFLWAM,IIFLWAM.NS,IIFL Wealth
IOLCP,IOLCP.NS,IOL Chem
IRB,IRB.NS,IRB Infrastructure
IRCON,IRCON.NS,IRCON International
ITC,ITC.NS,ITC Ltd
ITI,ITI.NS,ITI Ltd
INDIACEM,INDIACEM.NS,India Cements
IBULHSGFIN,IBULHSGFIN.NS,Indiabulls Housing
IBREALEST,IBREALEST.NS,Indiabulls Real
INDIAMART,INDIAMART.NS,Indiamart Intermesh
INDIANB,INDIANB.NS,Indian Bank
IEX,IEX.NS,Indian Energy
INDHOTEL,INDHOTEL.NS,Indian Hotels
IOC,IOC.NS,Indian Oil
IOB,IOB.NS,Indian Overseas
IRCTC,IRCTC.NS,Indian Railway
INDOCO,INDOCO.NS,Indoco Remedies
IGL,IGL.NS,Indraprastha Gas
INDUSTOWER,INDUSTOWER.NS,Indus Towers
INDUSINDBK,INDUSINDBK.NS,IndusInd Bank
NAUKRI,NAUKRI.NS,Info Edge
INFY,INFY.NS,Infosys
INGERRAND,INGERRAND.NS,Ingersoll Rand
INOXLEISUR,INOXLEISUR.NS,Inox Leisure
INDIGO,INDIGO.NS,InterGlobe Aviation
IPCALAB,IPCALAB.NS,Ipca Laboratories
JBCHEPHARM,JBCHEPHARM.NS,JB Chemicals
JKCEMENT,JKCEMENT.NS,JK Cement
JKLAKSHMI,JKLAKSHMI.NS,JK Lakshmi
JKPAPER,JKPAPER.NS,JK Paper
JKTYRE,JKTYRE.NS,JK Tyre
JMFINANCIL,JMFINANCIL.NS,JM Financial
JSWENERGY,JSWENERGY.NS,JSW Energy
JSWSTEEL,JSWSTEEL.NS,JSW Steel
JTEKTINDIA,JTEKTINDIA.NS,JTEKT India
JAGRAN,JAGRAN.NS,Jagran Prakashan
JAICORPLTD,JAICORPLTD.NS,Jai Corp
J&KBANK,J&KBANK.NS,Jammu &
JAMNAAUTO,JAMNAAUTO.NS,Jamna Auto
JINDALSAW,JINDALSAW.NS,Jindal Saw
JSLHISAR,JSLHISAR.NS,Jindal Stainless (Hisar) Ltd
JSL,JSL.NS,Jindal Stainless Ltd
JINDALSTEL,JINDALSTEL.NS,Jindal Steel
JCHAC,JCHAC.NS,Johnson Controls
JUBLFOOD,JUBLFOOD.NS,Jubilant Foodworks
JUSTDIAL,JUSTDIAL.NS,Justdial Ltd
JYOTHYLAB,JYOTHYLAB.NS,Jyothy Labs
KEI,KEI.NS,KEI Industries
KNRCON,KNRCON.NS,KNR Constructions
KRBL,KRBL.NS,KRBL Ltd
KSB,KSB.NS,KSB Ltd
KAJARIACER,KAJARIACER.NS,Kajaria Ceramics
KALPATPOWR,KALPATPOWR.NS,Kalpataru Power
KANSAINER,KANSAINER.NS,Kansai Nerolac
KTKBANK,KTKBANK.NS,Karnataka Bank
KARURVYSYA,KARURVYSYA.NS,Karur Vysya
KSCL,KSCL.NS,Kaveri Seed
KEC,KEC.NS,Kec International
KOLTEPATIL,KOLTEPATIL.NS,Kolte-Patil Developers
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra
L&TFH,L&TFH.NS,L&T Finance
LTTS,LTTS.NS,L&T Technology
LICHSGFIN,LICHSGFIN.NS,LIC Housing
LAOPALA,LAOPALA.NS,La Opala
LAXMIMACH,LAXMIMACH.NS,Lakshmi Machine
LTI,LTI.NS,Larsen & Toubro Infotech Ltd
LT,LT.NS,Larsen & Toubro Ltd
LAURUSLABS,LAURUSLABS.NS,Laurus Labs
LEMONTREE,LEMONTREE.NS,Lemon Tree
LINDEINDIA,LINDEINDIA.NS,Linde India
LUPIN,LUPIN.NS,Lupin Ltd
LUXIND,LUXIND.NS,Lux Industries
MASFIN,MASFIN.NS,MAS Financial
MMTC,MMTC.NS,MMTC Ltd
MOIL,MOIL.NS,MOIL Ltd
MRF,MRF.NS,MRF Ltd
MGL,MGL.NS,Mahanagar Gas
MAHSCOOTER,MAHSCOOTER.NS,Maharashtra Scooters
MAHSEAMLES,MAHSEAMLES.NS,Maharashtra Seamless
M&MFIN,M&MFIN.NS,M&M Financial Services Ltd
M&M,M&M.NS,Mahindra & Mahindra Ltd
MAHINDCIE,MAHINDCIE.NS,Mahindra CIE
MHRIL,MHRIL.NS,Mahindra Holidays
MANAPPURAM,MANAPPURAM.NS,Manappuram Finance
MRPL,MRPL.NS,Mangalore Refinery
MARICO,MARICO.NS,Marico Ltd
MARUTI,MARUTI.NS,Maruti Suzuki
MFSL,MFSL.NS,Max Financial
METROPOLIS,METROPOLIS.NS,Metropolis Healthcare
MINDTREE,MINDTREE.NS,MindTree Ltd
MINDACORP,MINDACORP.NS,Minda Corporation
MINDAIND,MINDAIND.NS,Minda Industries
MIDHANI,MIDHANI.NS,Mishra Dhatu
MOTHERSUMI,MOTHERSUMI.NS,Motherson Sumi
MOTILALOFS,MOTILALOFS.NS,Motilal Oswal
MPHASIS,MPHASIS.NS,MphasiS Ltd
MCX,MCX.NS,Multi Commodity
MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance
NATCOPHARM,NATCOPHARM.NS,NATCO Pharma
NBCC,NBCC.NS,NBCC (India)
NCC,NCC.NS,NCC Ltd
NESCO,NESCO.NS,NESCO Ltd
NHPC,NHPC.NS,NHPC Ltd
NLCINDIA,NLCINDIA.NS,NLC India
NMDC,NMDC.NS,NMDC Ltd
NOCIL,NOCIL.NS,NOCIL Ltd
NTPC,NTPC.NS,NTPC Ltd
NH,NH.NS,Narayana Hrudayalaya
NATIONALUM,NATIONALUM.NS,National Aluminium
NFL,NFL.NS,National Fertilizers
NAVINFLUOR,NAVINFLUOR.NS,Navin Fluorine
NAVNETEDUL,NAVNETEDUL.NS,Navneet Education
NESTLEIND,NESTLEIND.NS,Nestle India
NETWORK18,NETWORK18.NS,Network18 Media
NILKAMAL,NILKAMAL.NS,Nilkamal Ltd
NAM-INDIA,NAM-INDIA.NS,Nippon Life
OBEROIRLTY,OBEROIRLTY.NS,Oberoi Realty
ONGC,ONGC.NS,ONGC
OIL,OIL.NS,Oil India
OMAXE,OMAXE.NS,Omaxe Ltd
OFSS,OFSS.NS,Oracle Financial
ORIENTCEM,ORIENTCEM.NS,Orient Cement
ORIENTELEC,ORIENTELEC.NS,Orient Electric
PIIND,PIIND.NS,PI Industries
PNBHOUSING,PNBHOUSING.NS,PNB Housing
PNCINFRA,PNCINFRA.NS,PNC Infratech
PSPPROJECT,PSPPROJECT.NS,PSP Projects
PTC,PTC.NS,PTC India
PVR,PVR.NS,PVR Ltd
PAGEIND,PAGEIND.NS,Page Industries
PERSISTENT,PERSISTENT.NS,Persistent Systems
PETRONET,PETRONET.NS,Petronet LNG
PFIZER,PFIZER.NS,Pfizer Ltd
PHILIPCARB,PHILIPCARB.NS,Phillips Carbon
PHOENIXLTD,PHOENIXLTD.NS,Phoenix Mills
PIDILITIND,PIDILITIND.NS,Pidilite Industries
PEL,PEL.NS,Piramal Enterprises
POLYMED,POLYMED.NS,Poly Medicure
POLYCAB,POLYCAB.NS,Polycab India
POLYPLEX,POLYPLEX.NS,Polyplex Corporation
PFC,PFC.NS,Power Finance
POWERGRID,POWERGRID.NS,Power Grid
PRAJIND,PRAJIND.NS,Praj Industries
PRESTIGE,PRESTIGE.NS,Prestige Estates
PRSMJOHNSN,PRSMJOHNSN.NS,Prism Johnson
PGHL,PGHL.NS,P&G Health Ltd
PGHH,PGHH.NS,P&G Care Ltd
PNB,PNB.NS,Punjab National
QUESS,QUESS.NS,Quess Corp
RBLBANK,RBLBANK.NS,RBL Bank
RECLTD,RECLTD.NS,REC Ltd
RITES,RITES.NS,RITES Ltd
RADICO,RADICO.NS,Radico Khaitan
RVNL,RVNL.NS,Rail Vikas
RAIN,RAIN.NS,Rain Industries
RAJESHEXPO,RAJESHEXPO.NS,Rajesh Exports
RALLIS,RALLIS.NS,Rallis India
RCF,RCF.NS,Rashtriya Chemicals
RATNAMANI,RATNAMANI.NS,Ratnamani Metals
RAYMOND,RAYMOND.NS,Raymond Ltd
REDINGTON,REDINGTON.NS,Redington (India)
RELAXO,RELAXO.NS,Relaxo Footwears
RELIANCE,RELIANCE.NS,Reliance Industries
SBICARD,SBICARD.NS,SBI Cards
SBILIFE,SBILIFE.NS,SBI Life
SJVN,SJVN.NS,SJVN Ltd
SKFINDIA,SKFINDIA.NS,SKF India
SRF,SRF.NS,SRF Ltd
SANOFI,SANOFI.NS,Sanofi India
SCHAEFFLER,SCHAEFFLER.NS,Schaeffler India
SCHNEIDER,SCHNEIDER.NS,Schneider Electric
SIS,SIS.NS,Security and
SEQUENT,SEQUENT.NS,Sequent Scientific
SFL,SFL.NS,Sheela Foam
SHILPAMED,SHILPAMED.NS,Shilpa Medicare
SCI,SCI.NS,Shipping Corporation
SHOPERSTOP,SHOPERSTOP.NS,Shoppers Stop
SHREECEM,SHREECEM.NS,Shree Cement
SHRIRAMCIT,SHRIRAMCIT.NS,Shriram City
SRTRANSFIN,SRTRANSFIN.NS,Shriram Transport
SIEMENS,SIEMENS.NS,Siemens Ltd
SOBHA,SOBHA.NS,Sobha Ltd
SOLARINDS,SOLARINDS.NS,Solar Industries
SOLARA,SOLARA.NS,Solara Active
SONATSOFTW,SONATSOFTW.NS,Sonata Software
SOUTHBANK,SOUTHBANK.NS,South Indian
SPICEJET,SPICEJET.NS,Spicejet Ltd
STARCEMENT,STARCEMENT.NS,Star Cement
SBIN,SBIN.NS,State Bank
SAIL,SAIL.NS,Steel Authority
SWSOLAR,SWSOLAR.NS,Sterling And
STAR,STAR.NS,Strides Pharma
SUDARSCHEM,SUDARSCHEM.NS,Sudarshan Chemical
SUMICHEM,SUMICHEM.NS,Sumitomo Chemical
SPARC,SPARC.NS,Sun Pharma
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical
SUNTV,SUNTV.NS,Sun TV
SUNDARMFIN,SUNDARMFIN.NS,Sundaram Finance
SUNDRMFAST,SUNDRMFAST.NS,Sundram Fasteners
SUNTECK,SUNTECK.NS,Sunteck Realty
SUPRAJIT,SUPRAJIT.NS,Suprajit Engineering
SUPREMEIND,SUPREMEIND.NS,Supreme Industries
SUPPETRO,SUPPETRO.NS,Supreme Petrochem
SUVENPHAR,SUVENPHAR.NS,Suven Pharmaceuticals
SUZLON,SUZLON.NS,Suzlon Energy
SWANENERGY,SWANENERGY.NS,Swan Energy
SWARAJENG,SWARAJENG.NS,Swaraj Engines
SYMPHONY,SYMPHONY.NS,Symphony Ltd
SYNGENE,SYNGENE.NS,Syngene International
TCIEXP,TCIEXP.NS,TCI Express
TCNSBRANDS,TCNSBRANDS.NS,TCNS Clothing
TTKPRESTIG,TTKPRESTIG.NS,TTK Prestige
TVTODAY,TVTODAY.NS,TV Today
TV18BRDCST,TV18BRDCST.NS,TV18 Broadcast
TVSMOTOR,TVSMOTOR.NS,TVS Motor
TASTYBITE,TASTYBITE.NS,Tasty Bite
TATACHEM,TATACHEM.NS,Tata Chemicals
TATACOFFEE,TATACOFFEE.NS,Tata Coffee
TATACOMM,TATACOMM.NS,Tata Communications
TCS,TCS.NS,Tata Consultancy
TATACONSUM,TATACONSUM.NS,Tata Consumer
TATAELXSI,TATAELXSI.NS,Tata Elxsi
TATAINVEST,TATAINVEST.NS,Tata Investment
TATAMTRDVR,TATAMTRDVR.NS,Tata Motors Ltd DVR
TATAMOTORS,TATAMOTORS.NS,Tata Motors Ltd
TATAPOWER,TATAPOWER.NS,Tata Power
TATASTLBSL,TATASTLBSL.NS,Tata Steel BSL Ltd
TATASTEEL,TATASTEEL.NS,Tata Steel Ltd
TEAMLEASE,TEAMLEASE.NS,Teamlease Services
TECHM,TECHM.NS,Tech Mahindra
NIACL,NIACL.NS,The New
RAMCOCEM,RAMCOCEM.NS,The Ramco
THERMAX,THERMAX.NS,Thermax Ltd
THYROCARE,THYROCARE.NS,Thyrocare Technologies
TIMKEN,TIMKEN.NS,Timken India
TITAN,TITAN.NS,Titan Company
TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals
TORNTPOWER,TORNTPOWER.NS,Torrent Power
TRENT,TRENT.NS,Trent Ltd
TRIDENT,TRIDENT.NS,Trident Ltd
TIINDIA,TIINDIA.NS,Tube Investments
UCOBANK,UCOBANK.NS,UCO Bank
UFLEX,UFLEX.NS,UFLEX Ltd
UPL,UPL.NS,UPL Ltd
UJJIVAN,UJJIVAN.NS,Ujjivan Financial
UJJIVANSFB,UJJIVANSFB.NS,Ujjivan Small
ULTRACEMCO,ULTRACEMCO.NS,UltraTech Cement
UNIONBANK,UNIONBANK.NS,Union Bank
UBL,UBL.NS,United Breweries
MCDOWELL-N,MCDOWELL-N.NS,United Spirits
VGUARD,VGUARD.NS,V-Guard Industries
VMART,VMART.NS,V-Mart Retail
VIPIND,VIPIND.NS,VIP Industries
VRLLOG,VRLLOG.NS,VRL Logistics
VSTIND,VSTIND.NS,VST Industries
VAIBHAVGBL,VAIBHAVGBL.NS,Vaibhav Global
VAKRANGEE,VAKRANGEE.NS,Vakrangee Ltd
VTL,VTL.NS,Vardhman Textiles
VARROC,VARROC.NS,Varroc Engineering
VBL,VBL.NS,Varun Beverages
VENKEYS,VENKEYS.NS,Venky's (India)
VINATIORGA,VINATIORGA.NS,Vinati Organics
IDEA,IDEA.NS,Vodafone Idea
VOLTAS,VOLTAS.NS,Voltas Ltd
WABCOINDIA,WABCOINDIA.NS,WABCO India
WELCORP,WELCORP.NS,Welspun Corp
WELSPUNIND,WELSPUNIND.NS,Welspun India
WESTLIFE,WESTLIFE.NS,Westlife Development
WHIRLPOOL,WHIRLPOOL.NS,Whirlpool of
WIPRO,WIPRO.NS,Wipro Ltd
WOCKPHARMA,WOCKPHARMA.NS,Wipra
YESBANK,YESBANK.NS,Yes Bank
ZEEL,ZEEL.NS,Zee Entertainment
ZENSARTECH,ZENSARTECH.NS,Zensar Technolgies
ZYDUSWELL,ZYDUSWELL.NS,Zydus Wellness
ECLERX,ECLERX.NS,eClerx Services
AJMERA,AJMERA.NS,Ajmera Realty
ASAHIINDIA,ASAHIINDIA.NS,Asahi India
ARVIND,ARVIND.NS,Arvind Limited
DAAWAT,DAAWAT.NS,LT Foods
DEEPAKFERT,DEEPAKFERT.NS,Deepak Fertilisers
DLINKINDIA,DLINKINDIA.NS,D-Link (India)
DWARKESH,DWARKESH.NS,Dwarikesh Sugar
DONEAR,DONEAR.NS,Donear Industries
GOKEX,GOKEX.NS,Gokaldas Exports
HCLTECH,HCLTECH.NS,HCL
HIMATSEIDE,HIMATSEIDE.NS,Himatsingka Seide
HGS,HGS.NS,Hinduja Global
KCPSUGIND,KCPSUGIND.NS,K.C.P. Sugar
LIBERTSHOE,LIBERTSHOE.NS,Liberty Shoes
ZENTEC,ZENTEC.NS,Zen Technologies
TWL,TWL.NS,Titagarh Wagons
MIRZAINT,MIRZAINT.NS,Mirza International
